운동명,카테고리,영상URL,썸네일
스쿼트,근력,https://youtu.be/ntnWD4Ml0gc,https://img.youtube.com/vi/ntnWD4Ml0gc/hqdefault.jpg
런지,근력,https://youtu.be/SEvt-t1Iu_s,https://img.youtube.com/vi/SEvt-t1Iu_s/hqdefault.jpg
힙 브릿지,근력,https://youtube.com/shorts/UHfSMCwjZN0,https://img.youtube.com/vi/UHfSMCwjZN0/hqdefault.jpg
푸시업,근력,https://youtu.be/-_DUjHxgmWk,https://img.youtube.com/vi/-_DUjHxgmWk/hqdefault.jpg
밴드 로우,근력,https://youtu.be/AEjh-5WxxJ0,https://img.youtube.com/vi/AEjh-5WxxJ0/hqdefault.jpg
플랭크,코어,https://youtu.be/TuaWGla24cA,https://img.youtube.com/vi/TuaWGla24cA/hqdefault.jpg
사이드 플랭크,코어,https://youtu.be/BVMT4eqjmSc,https://img.youtube.com/vi/BVMT4eqjmSc/hqdefault.jpg
크런치,코어,https://youtu.be/EvCBmy0cBfQ,https://img.youtube.com/vi/EvCBmy0cBfQ/hqdefault.jpg
목 스트레칭,스트레칭,https://youtu.be/mUnSpfItRf0,https://img.youtube.com/vi/mUnSpfItRf0/hqdefault.jpg
팔 스트레칭,스트레칭,https://youtu.be/dSpm_Vl7ioA,https://img.youtube.com/vi/dSpm_Vl7ioA/hqdefault.jpg
어깨 스트레칭,스트레칭,https://youtu.be/qnI9g89iBAE,https://img.youtube.com/vi/qnI9g89iBAE/hqdefault.jpg
전신 스트레칭,스트레칭,https://youtu.be/F0VqX7LzyvQ,https://img.youtube.com/vi/F0VqX7LzyvQ/hqdefault.jpg
상체 스트레칭,스트레칭,https://youtu.be/wcn0x3iITPs,https://img.youtube.com/vi/wcn0x3iITPs/hqdefault.jpg
하체 스트레칭,스트레칭,https://youtu.be/--MMq6I07b4,https://img.youtube.com/vi/--MMq6I07b4/hqdefault.jpg
고관절 스트레칭,스트레칭,https://youtu.be/3M70X1jyQ2U,https://img.youtube.com/vi/3M70X1jyQ2U/hqdefault.jpg
이완 호흡,스트레칭,https://youtu.be/iVhO_paV8EM,https://img.youtube.com/vi/iVhO_paV8EM/hqdefault.jpg
명상,스트레칭,https://youtu.be/_nUDExVzgEI,https://img.youtube.com/vi/_nUDExVzgEI/hqdefault.jpg
요가 루틴,요가,https://youtu.be/tZEZNsuDkLY,https://img.youtube.com/vi/tZEZNsuDkLY/hqdefault.jpg
비둘기 자세,요가,https://youtube.com/shorts/ypMB-5xI4_4,https://img.youtube.com/vi/ypMB-5xI4_4/hqdefault.jpg
전굴,요가,https://youtu.be/9g1v5HZN7Ts,https://img.youtube.com/vi/9g1v5HZN7Ts/hqdefault.jpg
고양이-소,요가,https://youtu.be/9T5shxOSpNw,https://img.youtube.com/vi/9T5shxOSpNw/hqdefault.jpg
브릿지,요가,https://youtu.be/k7qfWdREYyA,https://img.youtube.com/vi/k7qfWdREYyA/hqdefault.jpg
빠르게 걷기,유산소,https://youtu.be/-ikqBL6jpas,https://img.youtube.com/vi/-ikqBL6jpas/hqdefault.jpg
조깅,유산소,https://youtube.com/shorts/yGWuaX8wxpU,https://img.youtube.com/vi/yGWuaX8wxpU/hqdefault.jpg
인터벌 러닝,유산소,https://youtu.be/O3GU4hMK75w,https://img.youtube.com/vi/O3GU4hMK75w/hqdefault.jpg
버피,유산소,https://youtu.be/5LCpPGZs2SQ,https://img.youtube.com/vi/5LCpPGZs2SQ/hqdefault.jpg
점핑잭,유산소,https://youtu.be/Wcdz6n18lR4,https://img.youtube.com/vi/Wcdz6n18lR4/hqdefault.jpg
실내 자전거,유산소,https://youtu.be/weOd8r9JHdU,https://img.youtube.com/vi/weOd8r9JHdU/hqdefault.jpg
에르고 미터,유산소,https://youtu.be/-S_iqu3PacU,https://img.youtube.com/vi/-S_iqu3PacU/hqdefault.jpg
무릎 돌리기,유산소,https://youtu.be/Iif8Dc1D7t0,https://img.youtube.com/vi/Iif8Dc1D7t0/hqdefault.jpg
